t,icp_pos_err_mm
33.001000,12.5361
33.026000,7.5252
33.051000,14.0024
33.076000,9.0809
33.101000,9.7671
33.126000,8.5954
33.151000,13.5166
33.176000,13.8448
33.201000,7.4366
33.226000,1.3682
33.251000,9.8832
33.276000,1.7438
33.301000,6.9044
33.326000,7.8659
33.376000,8.9697
33.401000,6.9465
33.426000,8.2152
33.451000,6.3298
33.476000,12.5831
33.501000,6.4101
33.526000,8.5090
33.551000,11.5314
33.576000,12.4861
33.601000,4.9118
33.626000,7.5967
33.651000,15.8204
33.676000,11.5333
33.701000,8.5332
33.726000,7.7832
33.751000,5.4534
33.776000,7.3140
33.801000,9.7442
33.826000,7.5346
33.851000,6.4163
33.876000,8.7355
33.901000,10.1768
33.926000,11.4325
33.951000,7.1175
33.976000,7.7055
34.001000,9.4377
34.026000,6.6313
34.051000,15.2607
34.076000,7.4285
34.101000,7.1501
34.126000,6.4157
34.176000,5.6279
34.201000,6.3345
34.226000,8.2247
34.251000,3.6402
34.276000,8.5348
34.301000,8.9933
34.326000,6.3482
34.351000,7.6661
34.376000,7.5952
34.401000,5.9964
34.426000,7.1678
34.451000,5.2973
34.476000,7.3973
34.501000,11.3636
34.526000,8.8562
34.551000,5.5640
34.576000,7.3684
34.601000,4.1832
34.626000,7.5418
34.651000,4.8734
34.676000,7.2928
34.701000,7.5723
34.726000,12.8492
34.751000,6.0954
34.776000,5.1209
34.801000,7.0216
34.826000,5.5697
34.851000,6.3778
34.876000,0.6657
34.901000,9.4507
34.926000,6.2507
34.951000,9.8785
34.976000,6.6912
35.001000,3.6630
35.026000,6.5236
35.051000,5.6277
35.076000,6.0333
35.101000,1.3718
35.126000,4.9682
35.151000,2.1644
35.176000,3.5401
35.201000,1.9197
35.251000,8.2845
35.276000,5.1354
35.301000,3.2660
35.351000,2.6892
35.376000,1.5742
35.401000,3.0960
35.426000,16.7174
35.451000,1.3514
35.476000,1.7583
35.501000,1.0177
35.526000,2.0818
35.551000,2.3839
35.576000,1.5305
35.601000,1.8633
35.626000,4.6900
35.651000,2.2481
35.676000,5.1495
35.701000,2.7289
35.726000,5.0132
35.751000,4.4890
35.776000,3.1567
35.801000,0.6832
35.826000,1.5527
35.851000,4.0128
35.876000,1.6845
35.901000,2.7005
35.926000,3.2748
35.951000,2.9078
35.976000,2.7885
36.001000,3.9329
36.026000,3.3773
36.051000,3.8685
36.076000,2.6355
36.101000,5.1921
36.126000,3.9614
36.151000,3.2994
36.176000,2.5085
36.201000,1.3424
36.226000,6.0555
36.251000,3.0195
36.276000,5.0340
36.301000,1.8129
36.326000,3.0060
36.351000,3.2167
36.376000,1.9710
36.401000,2.6644
36.426000,6.0909
36.451000,2.3130
36.476000,5.4606
36.501000,1.3494
36.526000,4.0169
36.551000,2.0722
36.576000,7.5354
36.601000,4.0233
36.626000,4.7863
36.676000,4.9677
36.701000,4.7924
36.726000,2.3196
36.776000,1.2015
36.851000,3.8090
36.876000,2.6295
36.901000,3.7969
36.926000,3.4949
36.951000,3.5374
36.976000,4.8533
37.001000,5.5242
37.026000,8.6756
37.076000,4.0446
37.101000,2.0545
37.126000,1.6602
37.151000,2.8355
37.176000,2.8143
37.201000,2.6251
37.226000,2.3979
37.251000,2.0184
37.276000,2.6420
37.326000,1.2073
37.401000,6.0238
37.426000,1.6113
37.451000,4.1606
37.476000,4.4746
37.501000,6.3401
37.526000,1.0769
37.551000,8.0184
37.601000,8.9494
37.626000,17.2221
37.651000,2.5038
37.676000,1.6527
37.751000,7.1849
37.776000,22.1023
37.801000,5.5890
37.826000,22.4050
37.851000,8.5295
37.876000,7.3423
37.901000,7.1013
37.926000,9.7143
37.951000,8.3166
37.976000,6.7190
38.001000,7.0317
38.051000,4.5318
38.076000,8.2274
38.101000,12.1672
38.126000,6.9598
38.151000,11.5381
38.176000,6.2794
38.201000,13.7077
38.226000,9.1758
38.251000,10.0498
38.276000,6.7591
38.301000,9.9573
38.326000,6.6903
38.351000,6.5994
38.376000,7.8962
38.401000,10.8740
38.426000,8.5970
38.451000,5.4838
38.501000,1.7789
38.526000,9.0123
38.551000,7.9504
38.576000,7.4544
38.601000,9.6714
38.626000,14.2394
38.651000,4.2449
38.676000,2.8172
38.701000,3.9107
38.726000,6.2400
38.751000,7.4537
38.776000,6.9502
38.826000,7.1969
38.851000,9.9569
38.876000,11.3430
38.901000,6.1349
38.926000,14.9669
38.951000,5.4471
39.001000,10.8051
39.026000,6.0322
39.051000,8.7412
39.076000,9.3977
39.101000,11.1972
39.126000,8.0006
39.151000,7.0318
39.176000,8.1408
39.201000,8.9342
39.226000,3.8840
39.251000,10.5832
39.276000,10.0100
39.301000,3.7836
39.326000,9.0792
39.351000,7.4779
39.376000,9.4636
39.401000,14.2566
39.426000,11.9558
39.451000,6.6656
39.501000,10.9536
39.526000,7.0372
39.576000,9.7369
39.601000,7.0815
39.626000,11.1959
39.651000,7.5734
39.701000,9.6447
39.726000,7.4101
39.751000,6.2871
39.776000,6.6339
39.801000,13.3616
39.826000,9.0517
39.851000,7.2769
39.876000,13.2566
39.901000,15.6172
39.926000,11.7945
39.976000,9.5764
40.001000,6.0617
40.051000,11.2848
40.076000,12.7900
40.126000,8.4892
40.151000,6.1879
40.176000,8.0360
40.201000,8.9130
40.226000,12.4099
40.251000,7.9622
40.276000,7.0896
40.301000,9.7309
40.326000,10.1510
40.351000,9.6522
40.376000,9.1803
40.401000,10.3753
40.426000,8.0822
40.451000,7.9268
40.476000,6.7304
40.501000,13.2518
40.526000,4.0631
40.551000,6.9766
40.576000,7.8639
40.601000,10.7934
40.626000,7.5731
40.651000,4.9898
40.676000,9.7499
40.701000,9.3613
40.726000,9.1443
40.751000,9.2854
40.801000,9.4599
40.826000,11.1282
40.851000,10.4117
40.876000,9.8000
40.901000,8.3403
40.926000,5.9093
40.951000,6.6241
40.976000,8.2220
41.001000,6.0686
41.026000,5.6556
