t,ax,ay,az,gx,gy,gz
0.342000,0.061723,-0.028638,9.810339,0.000672,-0.000557,0.003487
0.343000,0.033178,-0.033398,9.824146,0.000713,0.001143,0.005224
0.344000,0.071012,-0.020010,9.832326,-0.000066,-0.000295,0.004849
0.345000,0.059079,-0.025817,9.781814,-0.001037,0.000271,0.005993
0.346000,0.054745,-0.022547,9.809386,-0.001878,0.000162,0.003760
0.347000,0.060435,-0.028241,9.801375,0.001752,0.000480,0.004886
0.348000,0.051486,-0.017878,9.801660,-0.001596,-0.001617,0.005188
0.349000,0.060423,-0.020893,9.804781,0.000024,0.001155,0.003699
0.350000,0.053067,-0.040016,9.807598,-0.000002,0.001319,0.005514
0.351000,0.050952,-0.044931,9.785251,-0.000160,0.000597,0.005706
0.352000,0.051952,-0.022535,9.828423,0.000852,-0.001523,0.007566
0.353000,0.048826,-0.016579,9.812064,-0.000024,0.000037,0.005012
0.354000,0.036303,-0.035152,9.815045,0.000876,0.000116,0.005439
0.355000,0.066279,-0.007077,9.811258,0.000135,0.001970,0.004371
0.356000,0.037074,-0.029731,9.820767,0.000746,0.000746,0.005453
0.357000,0.051234,-0.022749,9.821715,-0.002392,0.000411,0.003972
0.358000,0.058135,-0.020581,9.802580,-0.000497,0.001419,0.004200
0.359000,0.033264,-0.018041,9.816399,0.000334,0.001873,0.005322
0.360000,0.056170,-0.035401,9.817025,0.000791,0.001676,0.006042
0.361000,0.053172,-0.028528,9.819581,-0.001561,-0.000626,0.005869
0.362000,0.057601,-0.031611,9.818178,0.000043,0.000629,0.007457
0.363000,0.036709,-0.028176,9.831879,0.001182,0.000909,0.006715
0.364000,0.053101,-0.031783,9.789326,0.000490,0.000560,0.003766
0.365000,0.033424,-0.024279,9.821653,-0.001022,-0.000307,0.005209
0.366000,0.048568,-0.017183,9.820498,-0.000302,0.000811,0.004306
0.367000,0.040478,-0.033803,9.794503,-0.000205,0.000335,0.003045
0.368000,0.057130,-0.009844,9.820290,-0.001431,0.000626,0.004443
0.369000,0.037411,-0.030359,9.807541,-0.000504,-0.000864,0.005392
0.370000,0.049931,-0.014479,9.792888,0.000355,-0.000510,0.003102
0.371000,0.046562,-0.026526,9.827417,0.000766,0.001967,0.004489
0.372000,0.037403,-0.011535,9.811522,0.000096,-0.000350,0.006078
0.373000,0.043706,-0.021605,9.798399,0.001145,-0.001694,0.006958
0.374000,0.050136,-0.025312,9.820432,0.000738,0.000444,0.006099
