t,n,x_n,y_n,x_degenerate,y_degenerate
18.926,490,245,245,0,0
18.951,490,245,245,0,0
18.976,490,245,245,0,0
19.001,490,245,245,0,0
19.026,488,244,244,0,0
19.051,510,255,255,0,0
19.076,486,243,243,0,0
19.101,491,245,246,0,0
19.126,490,245,245,0,0
19.151,493,246,247,0,0
19.176,490,245,245,0,0
19.201,490,245,245,0,0
19.226,491,245,246,0,0
19.251,490,245,245,0,0
19.276,490,245,245,0,0
19.301,491,245,246,0,0
19.326,494,247,247,0,0
19.351,490,245,245,0,0
19.376,490,245,245,0,0
19.401,490,245,245,0,0
19.426,491,245,246,0,0
19.451,492,246,246,0,0
19.476,490,245,245,0,0
19.501,491,245,246,0,0
19.526,492,246,246,0,0
19.551,491,245,246,0,0
19.576,491,245,246,0,0
19.601,491,245,246,0,0
19.626,488,244,244,0,0
19.651,490,245,245,0,0
19.676,491,245,246,0,0
19.701,492,246,246,0,0
19.726,491,245,246,0,0
19.751,492,246,246,0,0
19.776,491,245,246,0,0
19.801,487,243,244,0,0
19.826,491,245,246,0,0
19.851,491,245,246,0,0
19.876,487,243,244,0,0
19.901,492,246,246,0,0
19.926,492,246,246,0,0
19.951,510,255,255,0,0
19.976,491,245,246,0,0
20.001,491,245,246,0,0
20.026,491,245,246,0,0
20.051,490,245,245,0,0
20.076,490,245,245,0,0
20.101,488,244,244,0,0
20.126,487,243,244,0,0
20.151,488,244,244,0,0
20.176,508,254,254,0,0
20.201,489,244,245,0,0
20.226,492,246,246,0,0
20.251,525,262,263,0,0
20.276,525,262,263,0,0
20.301,525,262,263,0,0
20.326,520,260,260,0,0
20.351,515,257,258,0,0
20.376,506,253,253,0,0
20.401,509,254,255,0,0
20.426,513,256,257,0,0
20.451,525,262,263,0,0
20.476,519,259,260,0,0
20.501,515,257,258,0,0
20.526,509,254,255,0,0
20.551,511,255,256,0,0
20.576,526,263,263,0,0
20.601,527,263,264,0,0
20.626,528,264,264,0,0
20.651,529,264,265,0,0
20.701,541,270,271,0,0
20.726,531,265,266,0,0
20.751,541,270,271,0,0
20.776,541,270,271,0,0
20.801,541,270,271,0,0
20.826,541,270,271,0,0
20.851,541,270,271,0,0
